time,Coincident Index,Coincident ann,manufac,home,manufac,home
Feb-00,90.3,7.244655581947734,22006497.375,47026292.875,6.440108781327747,2.690240870688765
Mar-00,91.4,7.403055229142197,22065786.833333332,47191595.166666664,4.925943988434001,8.53836591692987
Apr-00,92.4,8.962264150943412,22103903.833333332,47136843.33333333,3.541215394037933,0.9501166524937155
May-00,92.5,8.440797186400939,22153300.666666664,47108858.70833333,4.724593018864343,1.5953143637988276
Jun-00,93.5,9.741784037558677,22202114.041666664,47256488.91666667,4.236666394875832,3.3764435022292094
Jul-00,93.6,8.710801393728218,22257942.791666664,47397275.20833333,5.20685465938302,7.623979803751713
Aug-00,94.9,8.955223880597018,22275186.625,47596670.916666664,4.950865485372624,4.557544040905781
Sep-00,94.1,6.931818181818183,22256951.125,47643804.45833333,1.4676115431534242,2.7217156405028753
Oct-00,95.2,7.814269535673857,22249942.75,47528616.625,2.578560853544287,-6.064723060380639
Nov-00,95.8,7.640449438202235,22237084.083333332,47531769.166666664,2.822543456270843,5.200411690918605
Dec-00,96.6,8.417508417508412,22205628.333333332,47606631.0,2.621819869823594,3.2650610936219904
Jan-01,94.5,5.586592178770955,22171453.25,47685298.54166666,3.8069320545218055,3.83261457543862
Feb-01,94.0,4.097452934662238,22116569.833333332,47827537.33333333,-1.7071694293177564,5.821634098419093
Mar-01,92.7,1.422319474835887,22014974.541666664,47707536.33333333,-0.3396919872898807,-3.5403603581712573
Apr-01,91.6,-0.8658008658008809,21911457.041666664,47484256.70833333,-0.44065170212385096,-2.365153921981278
May-01,90.5,-2.1621621621621623,21815366.0,47475566.33333333,-1.00459015049994,2.8225234522885723
Jun-01,90.0,-3.7433155080213942,21709622.875,47521728.20833333,-2.3431670606653077,1.5699152819182771
Jul-01,88.5,-5.44871794871794,21599602.458333332,47578883.83333333,-1.1785907122787376,2.527782917420529
Aug-01,87.0,-8.324552160168608,21499080.041666664,47528730.83333333,-4.501481048727774,3.8175060866386223
Sep-01,85.5,-9.139213602550477,21409114.958333332,47387157.16666667,-6.016369892915319,-9.054371909728864
Oct-01,84.8,-10.924369747899165,21348926.041666664,47249646.916666664,-4.7092358885456935,-0.6943707468292759
Nov-01,83.8,-12.526096033402922,21329967.333333332,47210470.75,-5.527521943403624,0.21414268633441758
Dec-01,83.6,-13.457556935817806,21313093.625,47226238.125,-5.954955792768035,2.2612879263782526
Jan-02,83.7,-11.428571428571422,21303635.791666664,47090188.20833333,-6.267732135943538,0.670621094463808
Feb-02,84.4,-10.212765957446802,21328122.791666664,47029318.58333333,-5.206106934633626,-3.0345862056773365
Mar-02,85.1,-8.198489751887816,21375427.625,47191289.416666664,-4.854871795985394,-3.9783778168650197
Apr-02,86.0,-6.113537117903922,21424125.916666664,47318140.041666664,-1.770212718090225,-3.3142566628642123
May-02,88.6,-2.099447513812158,21473443.791666664,47462772.20833333,-0.39329898822567655,1.2516319469600967
Jun-02,87.6,-2.6666666666666727,21535102.125,47597747.16666666,-1.4300132298618373,-0.33948446829833445
Jul-02,87.9,-0.6779661016949046,21612542.458333332,47757148.541666664,0.40048453863068545,-6.2294732867657965
Aug-02,89.2,2.5287356321839205,21681966.583333332,47979309.83333333,2.2441576160384002,2.8040978046230736
Sep-02,89.7,4.912280701754379,21745101.458333332,48203702.45833333,2.93111308296925,4.381881078276595
Oct-02,90.0,6.132075471698117,21805267.541666664,48480620.666666664,2.405265019413605,1.9035822536733749
Nov-02,90.4,7.875894988066845,21844610.541666664,48648960.66666666,3.1402591161603377,6.165459890064295
Dec-02,89.8,7.416267942583743,21868462.0,48669859.04166666,3.9657423135638803,1.2762800542791775
Jan-03,90.7,8.363201911589012,21834154.208333332,48632273.91666666,5.220499170797632,6.064786726428273
Feb-03,91.4,8.293838862559234,21768121.625,48259753.666666664,3.188708588445621,4.1994428830056885
Mar-03,91.4,7.403055229142197,21751645.291666664,47928751.58333333,4.206522911812494,7.421465392443194
Apr-03,90.7,5.465116279069782,21753406.5,48016239.625,2.7139067468337386,7.86235605962784
May-03,91.6,3.3860045146726803,21746497.0,47991722.291666664,1.8176892609981676,1.6276341449279252
Jun-03,91.5,4.452054794520555,21741266.541666664,47824892.45833333,0.8464895594640032,-0.4406617378069466
Jul-03,91.9,4.550625711035261,21740441.416666664,47698043.0,-4.273184816176445,-1.5250360979402355
Aug-03,92.4,3.587443946188351,21770822.291666664,47661074.95833333,-2.553363569192879,-13.504585522873258
Sep-03,94.2,5.0167224080267525,21810126.833333332,47693821.33333333,0.7915899780284619,0.527553525773139
Oct-03,96.0,6.666666666666665,21841431.625,47760393.416666664,-0.6072574650906826,4.155396950385604
Nov-03,95.4,5.530973451327426,21872251.0,47821053.45833333,-0.1373673043474244,-5.271805697640808
Dec-03,97.1,8.129175946547873,21927111.541666664,47884183.25,-0.4444905696339374,-3.4291374956124665
Jan-04,98.4,8.489525909592066,22042413.875,48231015.125,0.3645410745405364,-2.5574840083993133
Feb-04,98.1,7.330415754923392,22155321.25,48793141.625,3.200434128613394,1.0815828317082055
Mar-04,97.9,7.111597374179435,22223119.0,49119919.45833333,1.3244205146924592,0.47065463464375235
Apr-04,98.8,8.930540242557882,22271512.625,49216121.416666664,2.178082702374895,2.9855259354587993
May-04,99.1,8.187772925764204,22313253.5,49271430.125,1.2921352092583271,0.1921873274008279
Jun-04,99.9,9.180327868852455,22349605.0,49305801.54166666,4.6469741907985584,3.42060747189723
Jul-04,101.1,10.010881392818272,22379918.416666664,49325208.58333333,7.635950200130859,14.891594894547167
Aug-04,100.0,8.225108225108224,22392907.0,49393564.416666664,4.477038423951574,12.529736693486427
Sep-04,100.2,6.369426751592355,22407097.125,49581206.875,2.8454848586373815,2.331376362604942
Oct-04,99.6,3.7499999999999867,22431513.166666664,49774578.70833333,2.309723326669122,2.336704979673754
Nov-04,101.1,5.974842767295585,22433149.083333332,49872853.916666664,2.2600332268273293,0.6042177601019993
Dec-04,100.1,3.0895983522142068,22430507.333333332,49880353.75,1.7949328345836069,1.2539210556529623
Jan-05,101.0,2.6422764227642226,22418742.375,49768526.375,1.6325098594426768,-0.17692984652240007
Feb-05,100.2,2.1406727828746197,22418388.833333332,49590343.791666664,-0.14377391423768815,3.3118400690792305
Mar-05,100.6,2.757916241062297,22453120.291666664,49591174.75,1.6699750430734461,5.774568202804575
Apr-05,102.3,3.5425101214574983,22497507.916666664,49711045.5,0.994711540773241,3.95923675596781
May-05,101.2,2.1190716448032276,22544193.416666664,49787959.70833333,-0.8053077308562306,1.1236726091991667
Jun-05,101.7,1.8018018018018056,22606904.208333332,50003929.0,0.4811841025211816,-0.6992619376312459
Jul-05,101.1,0.0,22681358.458333332,50434208.5,-1.6198674907112465,-4.478217179185173
Aug-05,101.6,1.6000000000000014,22738143.416666664,50718368.54166666,1.688424653247922,-3.1978099378072167
Sep-05,101.4,1.1976047904191711,22789159.166666664,50740927.5,1.9135872228228878,3.510859618808859
Oct-05,101.8,2.208835341365467,22844560.458333332,50758387.45833333,2.710261740485409,2.0597172201437086
Nov-05,102.6,1.4836795252225476,22917289.625,50863640.70833333,2.2801295687027157,2.031402468106891
Dec-05,103.8,3.6963036963036933,23000605.75,50963747.33333333,4.5861780139290875,9.448565530469555
Jan-06,104.1,3.069306930693072,23086216.708333332,50959295.79166666,3.6831242495231287,10.939071577402038
Feb-06,104.2,3.9920159680638667,23186822.583333332,50937590.375,2.7518256082689874,1.460618055098073
Mar-06,104.5,3.876739562624265,23271235.416666664,50944122.87499999,2.8601105925964987,-0.4947046402601907
Apr-06,105.4,3.03030303030305,23355686.916666664,50844340.33333333,3.1308227885477713,1.359583478490145
May-06,105.2,3.9525691699604737,23472802.0,50807410.45833333,4.900129985578849,4.271925949617117
Jun-06,105.6,3.834808259587019,23586947.041666664,50837714.375,3.9933812902839705,1.2695835294823876
Jul-06,105.9,4.747774480712175,23679935.166666664,50637302.25,4.65668259129024,-1.2856351535545318
Aug-06,106.1,4.429133858267709,23766684.5,50386476.666666664,5.577664142505889,0.23005887841813788
Sep-06,105.6,4.142011834319526,23870785.666666664,50245533.70833333,3.056833501365497,0.0438793317138364
Oct-06,106.0,4.125736738703334,23973413.333333332,50136596.791666664,5.544675291975154,-5.07837760406008
Nov-06,106.2,3.5087719298245723,24064731.416666664,50119540.58333333,6.709747530199284,3.4516038026548346
Dec-06,106.1,2.215799614643532,24154169.958333332,50196040.58333333,5.368178353005226,-1.6184916703252394
Jan-07,106.0,1.8251681075888593,24226621.833333332,50176643.791666664,4.548911871372496,-6.549695866584759
Feb-07,106.4,2.111324376199608,24306296.916666664,50143236.08333333,4.988245630907895,-3.664232009182533
Mar-07,105.8,1.2440191387559807,24414317.833333332,50253465.291666664,6.117454509956555,-2.711787954994793
Apr-07,106.6,1.1385199240986577,24514688.416666664,50474037.70833333,4.627204215051028,-2.499405710392477
May-07,106.9,1.615969581749055,24584068.75,50629544.666666664,5.056764604548647,1.8501606000962623
Jun-07,106.6,0.9469696969697017,24640617.5,50707661.75,4.0828886465114955,2.2902393304714774
Jul-07,105.7,-0.18885741265345368,24705293.375,50845250.66666666,2.9547117474950646,-2.9184849788815748
Aug-07,106.4,0.2827521206409056,24817208.083333336,51142115.125,4.765225535186546,1.150010262732204
Sep-07,105.2,-0.37878787878786735,24915681.083333332,51525969.33333333,5.792793699386145,3.5120301584069757
Oct-07,105.8,-0.18867924528301883,24970615.041666664,51649785.166666664,3.992474849594263,7.318103632985351
Nov-07,104.6,-1.5065913370998163,25040355.541666664,51596683.0,2.8199020114513695,0.9195416005585821
Dec-07,104.7,-1.3195098963242113,25101147.875,51556371.62499999,2.818545790578031,2.9643387137871846
Jan-08,104.4,-1.5094339622641506,25193898.541666664,51571516.04166666,3.7830436976315385,3.238168777496031
Feb-08,104.8,-1.5037593984962516,25263282.916666664,51751115.95833333,7.991600855855019,9.952743434614831
Mar-08,103.8,-1.8903591682419618,25269133.20833333,51662716.29166666,2.2339381925641666,8.03046055891945
Apr-08,102.9,-3.470919324577848,25269940.708333332,51377584.416666664,3.2578717528885415,-1.9848039640689485
May-08,102.9,-3.7418147801683843,25210953.833333332,51312873.916666664,3.7941656238275057,-0.668189541840436
Jun-08,100.4,-5.816135084427754,25023101.333333332,51256945.625,2.1756685834878775,-1.479192579432853
Jul-08,99.7,-5.676442762535483,24702132.083333332,51180442.95833333,6.474416916151293,2.100971815165842
Aug-08,96.3,-9.49248120300753,24246276.666666664,51005765.95833333,-0.029730914245040818,5.652088212818573
Sep-08,95.5,-9.220532319391639,23720580.083333332,50735262.625,0.5701869614313626,-9.250107618544812
Oct-08,92.4,-12.66540642722116,23256537.999999996,50668992.20833333,-0.5005013804151637,-2.9540498780792235
